章,カット#,秒,累計時間,映像種別,映像内容,ナレーション・テキスト,BGM / SE
プロローグ,1,8,0:08,🎬現在写真,黒からフェードイン。現在の誠一の手元アップ。古い写真アルバムをゆっくりめくる手,（なし）,ピアノBGM フェードイン
プロローグ,2,10,0:18,📷実写写真,アルバムの一ページ。色あせた白黒の家族写真。ゆっくりズームイン,（なし）,ピアノ継続
プロローグ,3,18,0:36,🎬現在写真,現在の誠一の顔（正面・穏やか）。屋外の光の中,【ナレーター】昭和十三年、九州の小さな農村に、一人の男が生まれました。それから八十七年。田んぼと山と、家族とともに生きてきた、荒木誠一さんの人生の記録です。,ピアノ 柔らかく
プロローグ,4,10,0:46,📝テキスト,タイトルカード。白文字フェードイン「荒木誠一　人生譜」,（なし）,ピアノ 少し展開
プロローグ,5,8,0:54,📝テキスト,年表テキストアニメ「1938年 昭和13年 九州・農村に生まれる」から年代が流れる,（なし）,ピアノ 静かに落ち着く
プロローグ,6,6,1:00,📝テキスト,章タイトル「第一章　生まれた土地と幼少期」,（なし）,BGM 素朴な雰囲気に転換
第一章：幼少期,7,20,1:20,🎨AIアニメ,九州の山間い農村の全景（昭和初期）。棚田・茅葺き屋根の集落・山・小川。夕暮れの光,【誠一】生まれたのは、山に囲まれた小さな集落でした。田んぼが家の周りを取り囲んでいて、春になると麦が風に揺れていた。それが、私の最初の記憶です。,素朴なBGM・風のSE
第一章：幼少期,8,18,1:38,🎨AIアニメ,農家の台所（昭和13〜15年）。母が竈で炊事。傍らに5歳の誠一が座っている。朝の薄暗い光,「母は毎朝、暗いうちから起きて竈でご飯を炊いていました。その煙の匂いが、子どものころの朝の記憶です。」,環境音（竈）・BGM継続
第一章：幼少期,9,12,1:50,🎨AIアニメ,戦時中の農村（昭和19年）。防空頭巾の子どもたち。大人たちが空を見上げている,「戦争が終わったのは、七つの夏でした。大人たちが泣いていたのを、今でも覚えています。」,BGM やや重く・飛行機SE（遠く）
第一章：幼少期,10,14,2:04,🎨AIアニメ,終戦直後の農村の夏（昭和20年）。黄金色の稲穂。少年誠一の後ろ姿が畦道を歩く,「でも、田んぼはいつもと同じように、黄金色に実っていました。」,BGM 少し明るく・蝉のSE
第一章：幼少期,11,18,2:22,🎨AIアニメ,昭和25年ごろの小学校の教室。風呂敷包みの子どもたち。前列に座る7歳の誠一,「小学校は木の床が抜けているところがあって、冬は隙間風が吹いていました。それでも学校が好きでした。先生の話を聞くのが好きだった。」,素朴なBGM
第一章：幼少期,12,16,2:38,🎨AIアニメ,夏の川遊び（昭和27年）。裸足の少年たちが川で泳いでいる。誠一が岩から飛び込もうとしている,「夏は川で泳いで、秋は山で栗を拾いました。貧しかったけれど、退屈したことは一度もなかったですね。」,明るいBGM・川のSE
第一章：幼少期,13,18,2:56,🎨AIアニメ,昭和29年・村の集会所。白黒テレビ1台。村人が集まっている。目を見開く少年誠一,「村にテレビが来た日のことは、一生忘れません。集会所に村中の人が集まって。あの小さな箱の中に人が映っているのが、信じられなかった。」,少し高揚するBGM
第一章：幼少期,14,16,3:12,🎨AIアニメ,夕暮れの田んぼ。父の後ろ姿（逆光）。14歳の誠一が隣を歩いている,「父は口数の少ない人でしたが、田んぼのことだけはよく話してくれました。『土は裏切らん』と、何度も言っていました。」,しみじみとしたBGM
第一章：幼少期,15,8,3:20,📝テキスト,年表カード「1952年　14歳　中学卒業」,（なし）,BGM展開
第一章：幼少期,16,6,3:26,📝テキスト,章タイトル「第二章　青春期・出会い・仕事」,（なし）,BGM 少し力強く転換
第二章：青春期,17,18,3:44,🎨AIアニメ,昭和27〜30年・地方の小工場。機械の前の若い男たち。15歳の誠一が真剣な横顔で機械を見ている,「中学を出て、すぐに地元の工場に就職しました。十四歳でした。先輩に怒鳴られながら、毎日必死でした。でも、機械の仕組みを覚えていくのが、面白かった。」,機械音SE（遠く）・力強いBGM
第二章：青春期,18,14,3:58,📷実写写真,成人式の写真（昭和33年）。紋付き袴の20歳の誠一。緊張した表情,「成人式のとき、父が羽織袴を作ってくれました。着なれないから動きにくくて。でも、嬉しかったです。」,温かいBGMに変化
第二章：青春期,19,16,4:14,🎨AIアニメ,昭和35年・高度経済成長の地方都市の駅前。バスや自転車。工場へ向かう22歳の誠一,「あの頃は日本中が、前を向いて走っていました。みんな貧しかったけど、みんな明日を信じていた。そういう時代でした。」,高揚感のあるBGM
第二章：青春期,20,12,4:26,📷実写写真,職場の同僚との集合写真。若い誠一が仲間と並んでいる。笑顔,「この仲間たちには、ずいぶん助けてもらいました。今でも年に一度は会います。」,温かいBGM
第二章：青春期,21,20,4:46,🎨AIアニメ,昭和40年・夏祭り。提灯の灯り。浴衣の人々。27歳の誠一が若い女性に目を向けている,「妻と初めて会ったのは、地元の夏祭りでした。三つ編みに浴衣で。私の方から先に話しかけました。珍しいことでしたよ、私には…」,夏祭りのSE・BGM
